"Carimbo de data/hora","Tamanho da camiseta","Restrição alimentar ou alergia","Uso atual com ferramentas de AI","Stack atual de ferramentas de AI","Expectativas com o curso","Conhecimento APIs e WebHooks","Fluxo que gostaria de deixar mais fácil com AI"
"03/02/2026 18:05:03","P","Não","Intermediário (já utilizo automações como n8n, Zapier, Relay, mas ainda não estou usando IDEs)","ChatGPT (com Projects), Gemini (com Gems), n8n","Enxergar um passo além e ter mais autonomia.","Já está no meu dia a dia, consigo explicar bem e entendo quando e como usar","Já está no meu dia a dia, consigo explicar bem e entendo quando e como usar"
"03/02/2026 18:18:24","M","Camarão e frutos do mar","Rotineiro (já utilizo funcionalidades como o Projects do ChatGPT/Claude e organizo meus arquivos em markdown)","ChatGPT, Perplexity, Lovable, Gemini, Comet browser","Evoluir as habilidades com IA","Sei o que é, mas não consigo tangibilizar","Priorização quando surgem demandas atravessadas"
"03/02/2026 18:22:00","M","Não","Intermediário (já utilizo automações como n8n, Zapier, Relay, mas ainda não estou usando IDEs)","Zappier, gpt, n8n, powerautomate","Aprender a escrever melhores historias com as ferramentas de detalhamento de codigo","Já está no meu dia a dia, consigo explicar bem e entendo quando e como usar","Integrações entre sistemas, identificação de tipos de documentos via previa de leitura, Agente que responde chamados de bugs no teams."
"03/02/2026 18:31:35","P","Alergia a amendoim e frutas do mar","Básico (já uso o GPT/Claude/Gemini/Perplexity no dia a dia, mas nada além)","ChatGPT para escrita e pesquisa e Perplexity para pesquisa rápida e coisas do dia a dia","Entender e aprender uma nova funcionalidade","Sei o que é, mas não consigo tangibilizar","Sim, resumo de noticias e lembretes de to do já acordados"
"03/02/2026 18:31:56","EXTRA G","Nao","Avançado (já estou utilizando ferramentas como Cursor, Antigravity e tá bem integrado com MCPs e APIs)","Claude Code + gemini + gpt","Explorar casos de uso com vibe coding","Já está no meu dia a dia, consigo explicar bem e entendo quando e como usar","Nao"
"03/02/2026 18:36:33","M","Não","Básico (já uso o GPT/Claude/Gemini/Perplexity no dia a dia, mas nada além)","GPT, Gemini","Sair da estaca zero em Cursor para, pelo menos, 1 uso prático no dia a dia.","Sei o que é, mas não consigo tangibilizar","1:1s e follow update com time"
"03/02/2026 19:26:53","M","Só posso comer hambúrger e pizza","Intermediário (já utilizo automações como n8n, Zapier, Relay, mas ainda não estou usando IDEs)","Gpt, n8n, lovable","Quero um curso que eleve minha performance como líder de produto, conectando estratégia, IA e dados com aplicação real em produtos complexos, para acelerar meu desenvolvimento.","Sei o que é, mas não consigo tangibilizar","CSAT - Classificação e criação de dashboards"
"03/02/2026 20:06:51","M","Não","Rotineiro (já utilizo funcionalidades como o Projects do ChatGPT/Claude e organizo meus arquivos em markdown)","ChatGPT, Gemini, Lovable, Manus","Conhecer mais sobre o Cursor, entender a entrega de valor delas para um PM e pensar em aplicações no meu dia a dia","Já está no meu dia a dia, consigo explicar bem e entendo quando e como usar","Tarefas operacionais do dia a dia."
"03/02/2026 21:16:44","M","Não.","Básico (já uso o GPT/Claude/Gemini/Perplexity no dia a dia, mas nada além)","Gemini, Lovable","Minha expectativa é transitar do uso de IAs generativas de texto para ferramentas que me deem autonomia técnica. Quero entender como o Cursor pode me ajudar a prototipar ideias e facilitar a comunicação com o time de engenharia.","Já está no meu dia a dia, consigo explicar bem e entendo quando e como usar","Minha expectativa é aprender a utilizar o Cursor para criar protótipos de fluxos de onboarding. Quero ganhar autonomia para validar hipóteses de experiência do usuário (UX) e regras de negócio."
"03/02/2026 23:59:25","GG","Não","Básico (já uso o GPT/Claude/Gemini/Perplexity no dia a dia, mas nada além)","Gpt, Gemini, n8n e lovable","Conhecer e saber operacionalizar de forma prática.","Já está no meu dia a dia, consigo explicar bem e entendo quando e como usar","Sim. Um fluxo que eu buscaria evoluir ainda mais com IA é a consolidação de informações estratégicas que hoje ficam espalhadas entre reuniões, materiais de clientes, análises regulatórias e construção de planos de ação. Tenho bastante interação com múltiplos projetos simultaneamente, então automatizar a captura de insights, geração de resumos executivos e conexão desses aprendizados com backlog, priorização e indicadores ajudaria muito a acelerar decisões e reduzir esforço operacional."
"04/02/2026 09:23:51","GG","Não","Básico (já uso o GPT/Claude/Gemini/Perplexity no dia a dia, mas nada além)","Gemini 3 Pro","Aprender novas ferramentas","Já está no meu dia a dia, consigo explicar bem e entendo quando e como usar","Gostaria de conectar API a uma tela básica, afim de fornecer autosserviço para clientes."
"04/02/2026 13:19:22","GG","Nenhuma","Intermediário (já utilizo automações como n8n, Zapier, Relay, mas ainda não estou usando IDEs)","Claude + N8N + Lovable","Sair da zona de entendo as possibilisades para te fato começar estar presente na rotina","Sei o que é, mas não consigo tangibilizar","Report de entrevistas ou discovery para clientes internos"
"04/02/2026 21:34:56","EXTRA G","Não se aplica","Básico (já uso o GPT/Claude/Gemini/Perplexity no dia a dia, mas nada além)","Gemini, Chat GPT, Copilot","Aprender uma nova ferramenta que possa me provocar a ampliar meus horizontes","Já está no meu dia a dia, consigo explicar bem e entendo quando e como usar","Aprender a fazer jornadas e benchmarking mais robustos"
"05/02/2026 08:44:23","GG","Frutos do mar e lactose","Básico (já uso o GPT/Claude/Gemini/Perplexity no dia a dia, mas nada além)","Gemini e GpT","Aprender a utilizar a IA para facilitar o dia a dia em produto, automatizando processos operacionais e repetitivos.","Sei o que é, mas não consigo tangibilizar","Documentações e testes."
"05/02/2026 16:18:00","GG","Não","Básico (já uso o GPT/Claude/Gemini/Perplexity no dia a dia, mas nada além)","Não sei :(","Entender um pouco mais e praticar IA aplicada a produtos.","É uma caixa de pandora pra mim, não faço ideia como funciona","Criar agentes de pesquisa para dados de mercado e consumo para mapear oportunidades de novos produtos e soluções para nichos diversos."
"05/02/2026 18:10:08","M","Não","Básico (já uso o GPT/Claude/Gemini/Perplexity no dia a dia, mas nada além)","GPT/Gemini/Perplexity","Avançar na apresentação de protótipos, e automação de tarefas","É uma caixa de pandora pra mim, não faço ideia como funciona","Criação de report executivo"
"05/02/2026 20:45:16","M","Nao","Básico (já uso o GPT/Claude/Gemini/Perplexity no dia a dia, mas nada além)","Gemini","Utilizar cursor no meu dia a dia profissional","Sei o que é, mas não consigo tangibilizar","Escrever PRD"
"05/02/2026 22:17:48","G","Não.","Rotineiro (já utilizo funcionalidades como o Projects do ChatGPT/Claude e organizo meus arquivos em markdown)","Suíte da OpenAI, Gemini e Claude.","Criar familiaridade com o Cursor a ponto de pode desenvolver POCs para as features que pretendo testar.","Já está no meu dia a dia, consigo explicar bem e entendo quando e como usar","Criação de POCs e pequenas automações para organização de tarefas."